iata,lat,lon,country,icao,tz,city,subd,size
ICY,59.96902,-141.66177,US,19AK,America/Anchorage,Icy Bay,Alaska,small
HGZ,66.17613,-155.68482,US,2AK6,America/Anchorage,Hogatza,Alaska,small
GWV,30.59317,-89.87348,US,2LA8,America/Chicago,Bush,Louisiana,small
FWL,62.50918,-153.89063,US,0AA4,America/Anchorage,Farewell,Alaska,small
CYT,60.08085,-142.49549,US,0AA1,America/Anchorage,Yakataga,Alaska,small
CSE,38.85194,-106.93282,US,0CO2,America/Denver,Crested Butte,Colorado,small
CUS,31.82371,-107.62697,US,0NM0,America/Denver,Columbus,New Mexico,small
OCA,25.32432,-80.27573,US,07FA,America/New_York,Key Largo,Florida,small
JCY,30.25181,-98.62253,US,0TE7,America/Chicago,Johnson City,Texas,small
BYW,48.57899,-122.82629,US,38WA,America/Los_Angeles,Blakely Island,Washington,small
DRF,60.58887,-152.16198,US,3AK5,America/Anchorage,Kenai,Alaska,small
RFK,32.95429,-90.84593,US,5MS1,America/Chicago,Rolling Fork,Mississippi,small
BCS,29.86604,-90.02229,US,65LA,America/Chicago,Belle Chasse,Louisiana,small
CTO,40.9,-72.8,US,3NY8,America/New_York,Calverton,New York,small
BDF,41.23087,-89.61565,US,3IS8,America/Chicago,Bradford,Illinois,small
GZO,-8.09778,156.864,SB,AGGN,Pacific/Guadalcanal,Gizo,,small
SSW,48.67288,-123.17575,US,7WA5,America/Los_Angeles,Stuart Island,Washington,small
AXB,44.31672,-75.89967,US,89NY,America/New_York,Alexandria Bay,New York,small
FOB,39.47433,-123.79557,US,82CL,America/Los_Angeles,Fort Bragg,California,small
MHN,42.04216,-101.05966,US,84NE,America/Chicago,Mullen,Nebraska,small
EGM,-8.57889,157.87601,SB,AGGS,Pacific/Guadalcanal,Sege,,small
AYU,-6.33806,145.90417,PG,AYAY,Pacific/Port_Moresby,Aiyura Valley,Eastern Highlands,small
GMI,-6.27111,150.33099,PG,AYGT,Pacific/Port_Moresby,Gasmata Island,West New Britain,small
MYX,-7.21167,146.01936,PG,AYMC,Pacific/Port_Moresby,Menyamya,Morobe,small
JUV,72.7902,-56.1306,GL,BGUK,America/Nuuk,Upernavik,,small
BJD,66.0219,-14.8244,IS,BIBK,Atlantic/Reykjavik,Bakkafjordur,Northeast,small
BLO,65.645,-20.2875,IS,BIBL,Atlantic/Reykjavik,Blonduos,Northwest,small
RFN,66.4064,-15.9183,IS,BIRG,Atlantic/Reykjavik,Raufarhofn,Northeast,small
YMB,50.1228,-120.747,CA,CAD5,America/Vancouver,Merritt,British Columbia,small
ZEL,52.185,-128.157,CA,CBBC,America/Vancouver,Bella Bella,British Columbia,small
YJP,53.3192,-117.753,CA,CEC4,America/Edmonton,Hinton,Alberta,small
YLS,49.0303,-77.0172,CA,CSH4,America/Toronto,Lebel-sur-Quevillon,Quebec,small
AFT,-9.19139,160.94861,SB,AGAF,Pacific/Guadalcanal,Bila,Malaita,small
BPF,-8.56203,158.11931,SB,AGBT,Pacific/Guadalcanal,Batuna Mission Station,Western Province,small
RBV,-8.16806,157.64301,SB,AGRM,Pacific/Guadalcanal,Ramata,,small
HED,55.80139,-160.89925,US,AK33,America/Anchorage,Herendeen Bay,Alaska,small
BUA,-5.42232,154.673,PG,AYBK,Pacific/Port_Moresby,Buka Island,Bougainville,small
FAQ,-4.61047,141.96014,PG,AYFR,Pacific/Port_Moresby,Frieda River,East Sepik,small
LMY,-7.00992,141.494,PG,AYLM,Pacific/Port_Moresby,Lake Murray,Western Province,small
SIM,-5.27861,144.54472,PG,AYSJ,Pacific/Port_Moresby,Simbai,Western Highlands,small
JAV,69.2432,-51.0571,GL,BGJN,America/Nuuk,Ilulissat,,small
SGG,65.90583,-36.37833,GL,BGSG,America/Nuuk,Sermiligaaq,Sermersooq,small
BXV,64.79,-14.0228,IS,BIBV,Atlantic/Reykjavik,Breiddalsvik,East,small
FAG,63.8747,-16.6411,IS,BIFM,Atlantic/Reykjavik,Fagurholsmyri,East,small
RKV,64.13,-21.9406,IS,BIRK,Atlantic/Reykjavik,Reykjavik,Capital Region,medium
YAA,52.4525,-125.303,CA,CAJ4,America/Vancouver,Anahim Lake,British Columbia,small
XQU,49.3372,-124.394,CA,CAT4,America/Vancouver,Qualicum Beach,British Columbia,small
VEV,-7.91278,156.70599,SB,AGBA,Pacific/Guadalcanal,Barakoma,,small
SCZ,-10.7203,165.795,SB,AGGL,Pacific/Guadalcanal,Santa Cruz/Graciosa Bay/Luova,Temotu,small
KGE,-7.333,157.58299,SB,AGKG,Pacific/Guadalcanal,Kagau Island,,small
RIN,-8.12639,157.14301,SB,AGRC,Pacific/Guadalcanal,Ringi Cove,,small
SOL,64.56064,-164.44233,US,AK26,America/Nome,Solomon,Alaska,small
ATP,-3.14361,142.34681,PG,AYAI,Pacific/Port_Moresby,Aitape,Sandaun,small
KPM,-5.38167,143.92472,PG,AYAQ,Pacific/Port_Moresby,,Enga,small
PNP,-8.80454,148.30901,PG,AYGR,Pacific/Port_Moresby,Popondetta,Northern Province,small
