icao,size
KORD,large
KATL,large
KDFW,large
KDEN,large
KLAX,large
KLAS,large
KPHX,large
KCLT,large
KSEA,large
KJFK,large
KEWR,large
VIDP,large
EHAM,large
EDDF,large
LFPG,large
KSFO,large
EGLL,large
KMSP,large
KBOS,large
KMIA,large
KPHL,large
LEMD,large
RJTT,large
KLGA,large
OMDB,large
CYYZ,large
UUEE,large
EDDM,large
KIAD,large
YSSY,large
KDCA,large
KDTW,large
KMCO,large
KBWI,large
KFLL,large
LEBL,large
PANC,large
KDAL,large
KIAH,large
LTFJ,large
KMDW,large
LIRF,large
KAUS,large
KBNA,large
OTHH,large
VHHH,large
LSZH,large
KSNA,large
KPDX,large
VOBL,large
KSAN,large
LOWW,large
ZGSZ,large
EKCH,large
WMKK,large
EGKK,large
ENGM,large
YMML,large
RPLL,large
YBBN,large
KRDU,large
KOAK,large
CYVR,large
LIMC,large
KIND,large
KSDF,large
EIDW,large
UUDD,large
LFPO,large
KSTL,large
KTPA,large
KSJC,large
RKSI,large
ESSA,large
EGSS,large
LPPT,large
LTFM,large
VTBS,large
KAPA,large
RCTP,large
KTEB,large
UUWW,large
KFFZ,large
KHOU,large
SBGR,large
EDDL,large
LEPA,large
LSGG,large
KSLC,large
CYUL,large
VABB,large
YPPH,large
CYYC,large
KHPN,large
KVNY,large
KDVT,large
EGCC,large
VOMM,large
KSAT,large
EPWA,large
ULLI,large
NZAA,large
EFHK,large
EDDK,large
KIWA,large
RKSS,large
KSDL,large
RJBB,large
EBBR,large
EDDB,large
KSMF,large
EGGW,large
KCMH,large
LGAV,large
KBFI,large
KLGB,large
KADS,large
EDDH,large
KBUR,large
KPDK,large
VTBD,large
KABQ,large
SKBO,large
KMYF,large
RJFF,large
KONT,large
WSSS,large
KBJC,large
LEMG,large
KMKE,large
KMCI,large
KBOI,large
SBSP,large
SBBR,large
LHBP,large
KCRQ,large
NZCH,large
LLBG,large
KORL,large
LKPR,large
LIML,large
SBKP,large
LIME,large
EDDS,large
KOMA,large
KOPF,large
YSBK,large
YPAD,large
LROP,large
KBED,large
KSRQ,large
KFRG,large
EDDP,large
KDAB,large
EGPH,large
LFBO,large
EDDT,large
KCVG,large
VECC,large
KRNO,large
KTYS,large
LIPZ,large
LEAL,large
KCHD,large
KHWO,large
KVGT,large
KBUF,large
LFML,large
OERK,large
OMSJ,large
KTUS,large
MMTJ,large
KSEE,large
KHIO,large
SPJC,large
FAOR,large
YMMB,large
LSZM,large
ELLX,large
KPWK,large
KFTW,large
RJAA,large
KRVS,large
KCMA,large
LTBA,large
MMMX,large
EGBB,large
8TX7,large
EGNX,large
KTUL,large
LPPR,large
KSUS,large
KTOA,large
ENBR,large
YPJT,large
TJSJ,large
KMSN,large
KROC,large
KCOS,large
LFMN,large
LTAC,large
KPAO,large
OBBI,large
EVRA,large
KPAE,large
RJOO,large
KPSP,large
KISP,large
LIPE,large
UKBB,large
KPIT,large
KPBI,large
EBMB,large
LPFR,large
NZWN,large
KTTN,large
KFCM,large
LFBD,large
